StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q10,Q11,Q28,1_Q17,1_Q18,1_Q19,1_Q20,1_Q21,1_Q22,1_Q23,1_Q24,1_Q25,1_Q26,1_Q8,1_Q12,1_Q13,1_Q14,1_Q15,1_Q16,2_Q17,2_Q18,2_Q19,2_Q20,2_Q21,2_Q22,2_Q23,2_Q24,2_Q25,2_Q26,2_Q8,2_Q12,2_Q13,2_Q14,2_Q15,2_Q16,Q29,Create New Field or Choose From Dropdown...
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Have you ever used GPT-4o mini before?,Have you ever used MyPatriotAI before?,"Given everything that you know about GPT-4o mini and MyPatriotAI, rate how much you agree with this statement: I would prefer to use MyPatriotAI more than GPT-4o mini for getting help planning my courses.",GPT-4o mini - I think that I would like to use this system frequently.,GPT-4o mini - I found the system unnecessarily complex.,GPT-4o mini - I thought the system was easy to use.,GPT-4o mini - I think that I would need the support of a technical person to be able to use this system.,GPT-4o mini - I found the various functions in this system were well integrated.,GPT-4o mini - I thought there was too much inconsistency in this system.,GPT-4o mini - I would imagine that most people would learn to use this system very quickly.,GPT-4o mini - I found the system very cumbersome to use.,GPT-4o mini - I felt very confident using the system.,GPT-4o mini - I needed to learn a lot of things before I could get going with this system.,GPT-4o mini - Capable,GPT-4o mini - Responsive,GPT-4o mini - Interactive,GPT-4o mini - Reliable,GPT-4o mini - Competent,GPT-4o mini - Knowledgeable,MyPatriotAI - I think that I would like to use this system frequently.,MyPatriotAI - I found the system unnecessarily complex.,MyPatriotAI - I thought the system was easy to use.,MyPatriotAI - I think that I would need the support of a technical person to be able to use this system.,MyPatriotAI - I found the various functions in this system were well integrated.,MyPatriotAI - I thought there was too much inconsistency in this system.,MyPatriotAI - I would imagine that most people would learn to use this system very quickly.,MyPatriotAI - I found the system very cumbersome to use.,MyPatriotAI - I felt very confident using the system.,MyPatriotAI - I needed to learn a lot of things before I could get going with this system.,MyPatriotAI - Capable,MyPatriotAI - Responsive,MyPatriotAI - Interactive,MyPatriotAI - Reliable,MyPatriotAI - Competent,MyPatriotAI - Knowledgeable,"Given everything that you know about GPT-4o mini and MyPatriotAI, rate how much you agree with this statement: I would prefer to use MyPatriotAI more than GPT-4o mini for getting help planning my courses.",Create New Field or Choose From Dropdown...
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID28""}","{""ImportId"":""1_QID17""}","{""ImportId"":""1_QID18""}","{""ImportId"":""1_QID19""}","{""ImportId"":""1_QID20""}","{""ImportId"":""1_QID21""}","{""ImportId"":""1_QID22""}","{""ImportId"":""1_QID23""}","{""ImportId"":""1_QID24""}","{""ImportId"":""1_QID25""}","{""ImportId"":""1_QID26""}","{""ImportId"":""1_QID8""}","{""ImportId"":""1_QID12""}","{""ImportId"":""1_QID13""}","{""ImportId"":""1_QID14""}","{""ImportId"":""1_QID15""}","{""ImportId"":""1_QID16""}","{""ImportId"":""2_QID17""}","{""ImportId"":""2_QID18""}","{""ImportId"":""2_QID19""}","{""ImportId"":""2_QID20""}","{""ImportId"":""2_QID21""}","{""ImportId"":""2_QID22""}","{""ImportId"":""2_QID23""}","{""ImportId"":""2_QID24""}","{""ImportId"":""2_QID25""}","{""ImportId"":""2_QID26""}","{""ImportId"":""2_QID8""}","{""ImportId"":""2_QID12""}","{""ImportId"":""2_QID13""}","{""ImportId"":""2_QID14""}","{""ImportId"":""2_QID15""}","{""ImportId"":""2_QID16""}","{""ImportId"":""QID29""}","{""ImportId"":""Create New Field or Choose From Dropdown...""}"
8/26/25 16:00,8/26/25 16:05,IP Address,100,277,TRUE,8/26/25 16:05,R_3wctJzw1eNX6LFp,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Neither agree nor disagree4,3,2,4,Strongly disagree1,3,4,Strongly agree5,Strongly disagree1,3,2,5,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat associated5,2,2,4,Strongly disagree1,4,2,Strongly agree5,2,4,3,5,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat agree5,
8/26/25 15:59,8/26/25 16:09,IP Address,100,580,TRUE,8/26/25 16:09,R_5HU00m52FAQ1POO,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Somewhat agree5,4,2,Strongly agree5,Strongly disagree1,4,Strongly disagree1,4,Strongly disagree1,Strongly agree5,Strongly disagree1,5,Associated6,Somewhat associated5,Associated6,Somewhat associated5,Associated6,3,2,4,Strongly disagree1,3,3,3,2,4,Strongly disagree1,4,Neither associated nor unassociated4,Somewhat unassociated3,Neither associated nor unassociated4,Neither associated nor unassociated4,Somewhat unassociated3,Disagree2,
8/26/25 16:00,8/26/25 16:12,IP Address,100,741,TRUE,8/26/25 16:12,R_1YmqAstd68mkigG,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Somewhat disagree3,Strongly agree5,2,Strongly agree5,Strongly disagree1,4,2,Strongly agree5,Strongly disagree1,4,Strongly disagree1,6,Associated6,Somewhat associated5,Somewhat associated5,Somewhat associated5,Associated6,Strongly disagree1,2,Strongly agree5,Strongly disagree1,3,2,4,Strongly disagree1,3,2,3,Somewhat associated5,Neither associated nor unassociated4,Unassociated2,Somewhat unassociated3,Unassociated2,Strongly disagree1,
8/26/25 15:59,8/26/25 16:12,IP Address,100,788,TRUE,8/26/25 16:12,R_3lno48a9AXdd5iX,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Neither agree nor disagree4,3,2,4,Strongly disagree1,4,3,Strongly agree5,2,3,Strongly disagree1,3,Somewhat unassociated3,Somewhat associated5,Somewhat associated5,Somewhat associated5,Somewhat associated5,4,2,3,Strongly disagree1,3,2,4,3,3,2,5,Somewhat associated5,Somewhat associated5,Associated6,Neither associated nor unassociated4,Somewhat associated5,Somewhat agree5,
8/26/25 16:01,8/26/25 16:13,IP Address,100,713,TRUE,8/26/25 16:13,R_5LtBuQpgRnbVRLj,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Neither agree nor disagree4,4,2,4,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,5,Associated6,Associated6,Neither associated nor unassociated4,Somewhat associated5,Somewhat associated5,4,3,4,Strongly disagree1,4,2,4,Strongly disagree1,4,2,6,Associated6,Associated6,Definitely Associated7,Associated6,Definitely Associated7,Agree6,
8/26/25 16:03,8/26/25 16:13,IP Address,100,587,TRUE,8/26/25 16:13,R_1i2vuPxQB1WgGGv,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Neither agree nor disagree4,3,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,3,Strongly agree5,Strongly disagree1,4,Strongly disagree1,3,Definitely Associated7,Definitely Associated7,Somewhat unassociated3,Somewhat unassociated3,Neither associated nor unassociated4,4,2,4,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,5,Definitely Associated7,Associated6,Associated6,Associated6,Associated6,Agree6,
8/26/25 16:00,8/26/25 16:14,IP Address,100,839,TRUE,8/26/25 16:14,R_1dnJ9PEffGWlzZQ,,,,,40.7126,-74.0066,anonymous,EN,Yes,No,Somewhat disagree3,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Definitely associated7,Definitely Associated7,Definitely Associated7,Definitely Associated7,Definitely Associated7,Definitely Associated7,4,2,4,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Strongly agree5,Strongly disagree1,Definitely associated7,Associated6,Associated6,Definitely Associated7,Associated6,Associated6,Somewhat disagree3,
8/26/25 15:45,8/26/25 16:15,IP Address,100,1756,TRUE,8/26/25 16:15,R_3GTuWZicRvIQkH2,,,,,38.8476,-77.3281,anonymous,EN,Yes,No,Neither agree nor disagree4,4,Strongly disagree1,4,Strongly disagree1,4,3,Strongly agree5,2,4,Strongly disagree1,Definitely associated7,Associated6,Associated6,Somewhat associated5,Somewhat associated5,Associated6,3,4,4,2,4,3,4,4,4,Strongly disagree1,5,Somewhat associated5,Somewhat associated5,Somewhat unassociated3,Somewhat unassociated3,Associated6,Somewhat disagree3,
