Participant ID,Planner,Perceived Intelligence
1,Classical,2.6
2,Thinking,4
3,Thinking,3.7
4,Nonthinking,3.4
5,Thinking,5.1
6,Nonthinking,3.6
7,Thinking,4.2
8,Classical,6
9,Thinking,3.3
10,Nonthinking,3.8
11,Thinking,5
12,Nonthinking,5.8
13,Classical,6.2
14,Classical,1.8
15,Classical,1.4
16,Nonthinking,4.6
17,Nonthinking,3
18,Nonthinking,4.8
19,Thinking,7
20,Nonthinking,2.4
21,Thinking,4.4
22,Nonthinking,4.2
23,Classical,6.8
24,Nonthinking,2.2
25,Classical,2.8
26,Thinking,6.6
27,Thinking,3.5
28,Classical,5.2
29,Nonthinking,5.6
30,Classical,6.4
31,Nonthinking,5.4
32,Classical,4.1
33,Classical,3.9
34,Thinking,6.7
35,Classical,5.2
36,Thinking,6.1
37,Nonthinking,2.9
38,Thinking,5.1
39,Thinking,5.3
40,Classical,4.2
41,Nonthinking,4.1
42,Classical,6
43,Nonthinking,5
44,Classical,5.3
45,Classical,5.4
46,Thinking,5.7
47,Nonthinking,1.9
48,Thinking,3.8
49,Nonthinking,4.9
50,Thinking,4.8
51,Classical,4.5
52,Thinking,5.1
53,Nonthinking,3.3
54,Classical,4.4
55,Classical,4.8
56,Classical,4.6
57,Nonthinking,4.4
58,Thinking,4.9
59,Nonthinking,3.9
60,Thinking,4.6
